epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2454.49,0.60803,0.8775,1.20824,0.63831,0.73291,0.72343,0.75637,0.53793,0.74122,0.70455,0.76802,0.48871,0.90864,1.39543,2.30522,0.81007,0.00172852,0.00172852,0.00172852
67,2498.51,0.61898,0.89248,1.22711,0.64011,0.74726,0.70909,0.76081,0.54754,0.74752,0.71818,0.7561,0.48666,0.92184,1.38705,2.1556,0.84655,0.00166605,0.00166605,0.00166605
68,2546.54,0.60809,0.8771,1.2217,0.6387,0.7551,0.71476,0.76095,0.53401,0.773,0.68182,0.74983,0.48147,0.94223,1.48492,2.22744,0.84502,0.00160466,0.00160466,0.00160466
69,2588.96,0.58149,0.8498,1.15144,0.62212,0.79217,0.68636,0.7446,0.53822,0.76773,0.72116,0.773,0.49662,0.91148,1.40021,2.31277,0.82461,0.00154439,0.00154439,0.00154439
70,2630.71,0.57664,0.88393,1.1585,0.62384,0.85299,0.65936,0.76192,0.55326,0.88033,0.66818,0.78338,0.51015,0.94725,1.42485,2.24412,0.85704,0.00148531,0.00148531,0.00148531
71,2664.74,0.59506,0.87545,1.19307,0.62986,0.80051,0.60455,0.71003,0.51495,0.78064,0.61818,0.7198,0.47324,0.94099,1.46268,2.47257,0.8399,0.00142748,0.00142748,0.00142748
72,2698.61,0.57803,0.83795,1.13901,0.62181,0.73083,0.72817,0.77298,0.55714,0.72416,0.75455,0.78658,0.52387,0.89601,1.39595,2.08515,0.8197,0.00137096,0.00137096,0.00137096
73,2731.92,0.58471,0.84164,1.13637,0.6263,0.77121,0.68636,0.75165,0.54274,0.7661,0.68182,0.75287,0.4898,0.88569,1.46089,2.22096,0.79937,0.0013158,0.0013158,0.0013158
74,2767.87,0.58217,0.82523,1.11622,0.62709,0.81376,0.6753,0.75857,0.55808,0.81919,0.6796,0.76734,0.4999,0.88456,1.39793,2.10214,0.80872,0.00126205,0.00126205,0.00126205
75,2813.19,0.58734,0.84321,1.15538,0.62587,0.80993,0.68182,0.75801,0.5528,0.82799,0.65642,0.75679,0.49793,0.91494,1.48446,2.15365,0.81695,0.00120977,0.00120977,0.00120977
76,2851.66,0.59007,0.83368,1.12821,0.63359,0.86099,0.61937,0.75606,0.54127,0.81465,0.63636,0.7579,0.49355,0.90693,1.45885,2.20061,0.82633,0.00115901,0.00115901,0.00115901
77,2885.72,0.56521,0.8258,1.04947,0.62437,0.78106,0.7,0.76789,0.55122,0.8093,0.68636,0.77815,0.51182,0.90972,1.41869,2.16192,0.83121,0.00110982,0.00110982,0.00110982
78,2917.75,0.56106,0.81223,1.07988,0.62775,0.77857,0.73517,0.77796,0.5593,0.78414,0.74091,0.78942,0.52059,0.88287,1.39284,2.03407,0.81195,0.00106225,0.00106225,0.00106225
79,2950.26,0.56789,0.81443,1.1046,0.62159,0.72646,0.73636,0.75749,0.54466,0.71749,0.72727,0.75786,0.50466,0.91344,1.44428,2.18532,0.81512,0.00101635,0.00101635,0.00101635
80,2982.17,0.55885,0.81537,1.07389,0.62061,0.74641,0.70909,0.77093,0.5704,0.74641,0.70909,0.77536,0.52462,0.90374,1.43548,2.30027,0.82728,0.000972151,0.000972151,0.000972151
81,3011.24,0.54743,0.79643,1.06024,0.61358,0.7719,0.70759,0.76314,0.56649,0.76695,0.70305,0.75856,0.50904,0.88177,1.44633,2.22697,0.80667,0.000929712,0.000929712,0.000929712
82,3039.86,0.55096,0.78057,1.03766,0.61421,0.79949,0.6887,0.7659,0.56125,0.79546,0.69091,0.76372,0.49954,0.90917,1.48668,2.11764,0.83916,0.000889069,0.000889069,0.000889069
83,3067.82,0.54309,0.76747,1.03155,0.61253,0.74194,0.74091,0.76413,0.55556,0.73729,0.73636,0.76714,0.50595,0.92371,1.5101,2.09912,0.84695,0.000850262,0.000850262,0.000850262
84,3096.14,0.55387,0.7697,1.02396,0.60984,0.77679,0.71818,0.77529,0.56129,0.78924,0.73182,0.78504,0.51111,0.91325,1.42741,2.1216,0.82187,0.00081333,0.00081333,0.00081333
85,3126.88,0.52611,0.77624,1.01572,0.61424,0.80659,0.7393,0.7811,0.57771,0.80865,0.74545,0.78668,0.51224,0.89429,1.45824,1.97954,0.83108,0.00077831,0.00077831,0.00077831
86,3162.32,0.52786,0.78996,1.06023,0.61085,0.73486,0.69545,0.75065,0.55904,0.80709,0.64545,0.76349,0.49291,0.89479,1.45516,2.10337,0.82467,0.000745235,0.000745235,0.000745235
87,3199.06,0.55144,0.77492,1.00983,0.61711,0.74474,0.71612,0.75468,0.56357,0.75757,0.70455,0.7592,0.50059,0.90139,1.45104,2.19381,0.82347,0.000714139,0.000714139,0.000714139
